"UID","uuid","sector","facility_id"
"MEVZ","f91b3629de1021e8cb8fd3f4626d5e1a","E","EMEVZ"
"ONPU","55bdbbef2f3fe66904ad0793fd4964c9","E","EONPU"
"YSIS","ca4ec0ff9d81ec430fb2e093071b3829","E","EYSIS"
"MJJM","708c5dcfdf2b10e431e5d63f72d98c4c","E","EMJJM"
"CCWM","9a71d727606351c6dc8465bbe5b34825","E","ECCWM"
"JBAI","bf6bdb0ad9a71743a56d1fbee4a48776","E","EJBAI"
"JKBS","a9b7cb06a594ec4f893b849c362602cd","E","EJKBS"
"PQJN","f606ef7334d4d30fad01940564e1eb3b","E","EPQJN"
"BRYI","6a12ccfc75d4b2772ca287b353d5d04a","E","EBRYI"
"BBOK","653f8aed61ff2ad083063b8b35903ac2","E","EBBOK"
"OVFY","20a2e0226a8f3deef92b7423f085954f","E","EOVFY"
"QFUV","e0fefb77c36c0768d4ea62ee0ddde575","E","EQFUV"
"BLVU","60a757eb57cc085dab74a01afe72e0d2","E","EBLVU"
"DTZK","a444e748d2668621b9875b91a3d4378b","E","EDTZK"
"GNMY","2179a2385156d16be6b9bc8db17fb7dc","E","EGNMY"
"QHVB","d47e7e85f4fa684eeb94c9aeac4980cd","E","EQHVB"
"WVML","33ceb902ec4592e8970c59858e792819","E","EWVML"
"LBQJ","b673760c58b928008643e4ea53dded98","E","ELBQJ"
"MPKB","d78dd6e18f0f1651400cf7cf8577a5c0","E","EMPKB"
"LGCR","643a70f2dee3306989d82e1a523805f3","E","ELGCR"
"YPQZ","ab748f1519c0f73a1a0ca50dc931c55e","E","EYPQZ"
"PTRP","1c0c228ca5096c6ac32790541dce647f","E","EPTRP"
"JWRB","1f94e725b220175e7cb626c6de65480a","E","EJWRB"
"XHBA","0fb5e099db331eb0d07893b976d4b8ac","E","EXHBA"
"FDML","008a71dc715a143cd5ab126684184874","E","EFDML"
"LDGE","e23c0668a3bbed48513e049e35e8d41f","E","ELDGE"
"XOJM","c6f509035cf9cb885bb6c605bdeffcea","E","EXOJM"
"MDYR","e78aa8cf783c8ee26d01942c21f98df6","E","EMDYR"
"IGZL","cb7039d41bb0aa6f351b6929004302a2","E","EIGZL"
"AFIK","cc65e41a20f14ee521d32cc40e2386df","E","EAFIK"
"WMBD","2d30dc40a0787b1e95dae5de581d1353","E","EWMBD"
"WDGG","727ce74d3b68529a1616c5bae7dd22f2","E","EWDGG"
"JFLW","f4668de3ab15586a3846fe0879f8fa17","E","EJFLW"
"SKIL","1f1037431fa4af382f746645159f2b98","E","ESKIL"
"JFYM","0530bed7ce3a52505f3aeba3650b4873","E","EJFYM"
"FLTT","d2fbbefa97f54e3e36f7207cd9831bda","E","EFLTT"
"LYAE","02ef497029da03f23c9ddc327a7fa389","E","ELYAE"
"GJPA","0d1bfc741386a7325f40622246c8fec7","E","EGJPA"
"NEKY","1794d1edb6e28281860d2f7022720ba7","E","ENEKY"
"HVPH","1727ff5bfa70779878839a3d68257f75","E","EHVPH"
"KLZV","4f741026a3d37b5e1d9f40d39e2572de","E","EKLZV"
"MGLB","6afcb44d28e18e179f031768801a70a3","E","EMGLB"
"OFKO","f5de55f743647963838119202b315e1a","E","EOFKO"
"WTWR","cef4d900c01eee1e64e85016a6149715","E","EWTWR"
"DTOQ","e68215a0ee34f39d81eef233b4221d5a","E","EDTOQ"
"CJBJ","d911ed78698782c17800e8fa08d03578","E","ECJBJ"
"WQID","02f7b3713b09d4f9014ed14f7ccad38c","E","EWQID"
"ABCK","690f15a528841c9a18d44fdca788b4c6","E","EABCK"
"XSCY","defc40fdc483d60eca65c124aba8528d","E","EXSCY"
"RDXU","983a94e020288a1364a8eff966f9769c","E","ERDXU"
"EJWY","d3087f412951b7d33b441d9688026d53","E","EEJWY"
"VCVZ","48bc1040e6cdcfd6cd3b4f1c342c754c","E","EVCVZ"
"LMTP","ef417d97de52cba24ced9667e8d17074","E","ELMTP"
"SVTA","e0f20668ceee3d6a3f8b5189eef69f98","E","ESVTA"
