"lga_id","state","lga","unique_lga","pop_2006","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga_2013","longitude","latitude"
63,"Kwara","Asa","kwara_asa",126435,"North-Central",1287.347609,"113",98.2135664960092,"kwara_asa",4.43622639088799,8.43088380145218
64,"Rivers","Asari Toru","rivers_asari_toru",220100,"South-South",112.6520335,"148",1953.80405627565,"rivers_asari_toru",6.85263750635655,4.75227839755412
65,"Borno","Askira/Uba","borno_askira_uba",138091,"Northeast",2358.381062,"Others",58.553302612977,"borno_askira_uba",12.928288341194,10.6401978239126
66,"Osun","Atakunmosa East","osun_atakunmosa_east",76197,"Southwest",238.2650173,"113",319.799359819827,"osun_atakunmosa_east",4.78811088643741,7.46265167361713
67,"Osun","Atakunmosa West","osun_atakunmosa_west",68643,"Southwest",577.5501469,"Others",118.852017211737,"osun_atakunmosa_west",4.66738027095835,7.51731465201779
68,"Oyo","Atiba","oyo_atiba",169702,"Southwest",1758.790555,"Others",96.4878959109489,"oyo_atiba",3.90431780116396,8.24817387712597
69,"Oyo","Atisbo","oyo_atisbo",110792,"Southwest",3001.526959,"Others",36.9118790247054,"oyo_atisbo",3.23259645682841,8.37853967193412
70,"Kebbi","Augie","kebbi_augie",117287,"Northwest",1186.471422,"113",98.8536241372698,"kebbi_augie",4.59556751320682,12.9112996834874
71,"Jigawa","Auyo","jigawa_auyo",132001,"Northwest",512.172425,"Others",257.727658805528,"jigawa_auyo",10.0133588074232,12.3516329913797
72,"Nasarawa","Awe","nasarawa_awe",112574,"North-Central",2556.076115,"148",44.0417244773636,"nasarawa_awe",9.22946676163181,8.24723252649673
73,"Enugu","Awgu","enugu_awgu",198134,"Southeast",446.2643807,"Others",443.983451444661,"enugu_awgu",7.45332242610572,6.14902652987913
74,"Anambra","Awka North","anambra_awka_north",112608,"Southeast",351.8354191,"113",320.0587373723,"anambra_awka_north",7.05891964471126,6.3414125764094
75,"Anambra","Awka South","anambra_awka_south",189049,"Southeast",170.2695131,"Others",1110.29271510849,"anambra_awka_south",7.08701189203248,6.19537987977137
76,"Anambra","Ayamelum","anambra_ayamelum",158410,"Southeast",588.7147858,"148",269.077665146014,"anambra_ayamelum",6.98859224858624,6.55931760402456
77,"Osun","Ayedaade","osun_ayedaade",150392,"Southwest",1114.304827,"148",134.964864510993,"osun_ayedaade",4.30374850634549,7.31152826394911
78,"Osun","Ayedire","osun_ayedire",75846,"Southwest",262.7702763,"Others",288.639952234963,"osun_ayedire",4.24266228678618,7.5774084909614
79,"Jigawa","Babura","jigawa_babura",208101,"Northwest",992.2082479,"Others",209.735204721835,"jigawa_babura",8.86340622780058,12.6091380353165
80,"Lagos","Badagry","lagos_badagry",241093,"Southwest",442.0402377,"148",545.409624369135,"lagos_badagry",2.91968219242366,6.43798300435549
81,"Kebbi","Bagudo","kebbi_bagudo",237817,"Northwest",4787.4212,"Others",49.6753868241215,"kebbi_bagudo",3.93629571959599,11.3354986912237
82,"Kano","Bagwai","kano_bagwai",162847,"Northwest",404.9529866,"148",402.138039201215,"kano_bagwai",8.14125359852409,12.0963469782246
83,"Cross River","Bakassi","cross_river_bakassi",32385,"South-South",459.2999514,"Others",70.5094783948632,"cross_river_bakassi",8.59735111814856,4.6156950467731
84,"Plateau","Bokkos","plateau_bokkos",178454,"North-Central",1681.848926,"Others",106.10584413454,"plateau_bokkos",8.92180741032567,9.21335233227762
85,"Katsina","Bakori","katsina_bakori",149371,"Northwest",678.9700465,"Others",219.996450167408,"katsina_bakori",7.4284959084234,11.6305166620874
86,"Zamfara","Bakura","zamfara_bakura",186905,"Northwest",1367.151368,"148",136.71127014518,"zamfara_bakura",5.86183516025471,12.6193909186275
87,"Gombe","Balanga","gombe_balanga",212549,"Northeast",1624.482141,"113",130.841081373267,"gombe_balanga",11.6586518132115,9.84343660837433
88,"Taraba","Bali","taraba_bali",208935,"Northeast",9137.655586,"113",22.8652741431964,"taraba_bali",10.9979788960887,8.1334575578417
89,"Borno","Bama","borno_bama",269986,"Northeast",4987.631862,"Others",54.1311001834321,"borno_bama",14.1003640514618,11.5485267211916
90,"Yobe","Barde","yobe_barde",139782,"Northeast",770.8328737,"Others",181.338918939777,"yobe_barde",10.9090551116626,12.7254009079181
91,"Plateau","Barkin-Ladi","plateau_barkin_ladi",175267,"North-Central",1031.680894,"148",169.884894660073,"plateau_barkin_ladi",8.92321448778305,9.54414411843359
92,"Kwara","Baruten","kwara_baruten",209459,"North-Central",9762.197441,"Others",21.4561323171255,"kwara_baruten",3.38328430131354,9.2918131457342
93,"Kogi","Bassa","kogi_bassa",139993,"North-Central",1925.799483,"148",72.6934456239025,"kogi_bassa",7.03229341061237,7.79076149029427
94,"Plateau","Bassa","plateau_bassa",186859,"North-Central",1718.597314,"148",108.727622508085,"plateau_bassa",8.78232564264537,10.0771620458303
